name,is_pick,ktc_player_id,ktc_slug,sleeper_id,sleeper_name,position,team,ktc_match,sleeper_match
Kirk Cousins,0,396,kirk-cousins-396,1166,Kirk Cousins,QB,LVR,exact,exact
Kyle Philips,0,,,8171,Kyle Philips,WR,,no_ktc,exact
Kyle Pitts,0,1051,kyle-pitts-1051,7553,Kyle Pitts,TE,ATL,exact,exact
Kyle Trask,0,,,7605,Kyle Trask,QB,CAR,no_ktc,exact
Kylen Granson,0,,,7602,Kylen Granson,TE,TEN,no_ktc,exact
Kyler Murray,0,379,kyler-murray-379,5849,Kyler Murray,QB,MIN,exact,exact
Kyren Williams,0,1226,kyren-williams-1226,8150,Kyren Williams,RB,LAR,exact,exact
Ladd McConkey,0,1598,ladd-mcconkey-1598,11635,Ladd McConkey,WR,LAC,exact,exact
Lamar Jackson,0,372,lamar-jackson-372,4881,Lamar Jackson,QB,BAL,exact,exact
Laviska Shenault,0,,,6814,Laviska Shenault,WR,,no_ktc,exact
Lil'Jordan Humphrey,0,177,lil-jordan-humphrey-177,5938,Lil'Jordan Humphrey,WR,DEN,exact,exact
Luke McCaffrey,0,1606,luke-mccaffrey-1606,11650,Luke McCaffrey,WR,WAS,exact,exact
Luke Musgrave,0,1430,luke-musgrave-1430,9481,Luke Musgrave,TE,GBP,exact,exact
Luke Schoonmaker,0,1382,luke-schoonmaker-1382,10871,Luke Schoonmaker,TE,DAL,exact,exact
Mac Jones,0,1018,mac-jones-1018,7527,Mac Jones,QB,SFO,exact,exact
Malachi Corley,0,1607,malachi-corley-1607,11617,Malachi Corley,WR,CLE,exact,exact
Malik Cunningham,0,,,10860,Malik Cunningham,WR,DET,no_ktc,exact
Malik Davis,0,1197,malik-davis-1197,8800,Malik Davis,RB,DAL,exact,exact
Malik Heath,0,1502,malik-heath-1502,11210,Malik Heath,WR,ATL,exact,exact
Malik Nabers,0,1586,malik-nabers-1586,11632,Malik Nabers,WR,NYG,exact,exact
Malik Washington,0,1623,malik-washington-1623,11610,Malik Washington,WR,MIA,exact,exact
Malik Willis,0,1210,malik-willis-1210,8161,Malik Willis,QB,MIA,exact,exact
MarShawn Lloyd,0,1575,marshawn-lloyd-1575,11581,MarShawn Lloyd,RB,GBP,exact,exact
Marcus Mariota,0,23,marcus-mariota-23,2307,Marcus Mariota,QB,WAS,exact,exact
Mark Andrews,0,366,mark-andrews-366,5012,Mark Andrews,TE,BAL,exact,exact
Marquez Callaway,0,,,6989,Marquez Callaway,WR,,no_ktc,exact
Marquez Valdes-Scantling,0,,,5086,Marquez Valdes-Scantling,WR,DAL,no_ktc,exact
Marquise Brown,0,311,marquise-brown-311,5848,Marquise Brown,WR,PHI,exact,exact
Marvin Harrison Jr.,0,1585,marvin-harrison-jr-1585,11628,Marvin Harrison,WR,ARI,exact,normalised
Marvin Mims,0,1442,marvin-mims-1442,9494,Marvin Mims,WR,DEN,exact,exact
Mason Rudolph,0,,,4972,Mason Rudolph,QB,PIT,no_ktc,exact
Matthew Stafford,0,356,matthew-stafford-356,421,Matthew Stafford,QB,LAR,exact,exact
Max Duggan,0,,,10233,Max Duggan,QB,,no_ktc,exact
Mecole Hardman,0,404,mecole-hardman-404,5917,Mecole Hardman,WR,BUF,exact,exact
Michael Carter,0,1035,michael-carter-1035,7607,Michael Carter,RB,TEN,exact,exact
Michael Gallup,0,,,5038,Michael Gallup,WR,,no_ktc,exact
Michael Mayer,0,1427,michael-mayer-1427,9482,Michael Mayer,TE,LVR,exact,exact
Michael Penix Jr.,0,1554,michael-penix-jr-1554,11559,Michael Penix,QB,ATL,exact,normalised
Michael Pittman,0,536,michael-pittman-536,6819,Michael Pittman,WR,PIT,exact,exact
Michael Thomas,0,,,3199,Michael Thomas,WR,,no_ktc,exact
Michael Wilson,0,1421,michael-wilson-1421,10232,Michael Wilson,WR,ARI,exact,exact
Mike Evans,0,275,mike-evans-275,2216,Mike Evans,WR,SFO,exact,exact
Mike Gesicki,0,330,mike-gesicki-330,4993,Mike Gesicki,TE,CIN,exact,exact
Mike White,0,,,5089,Mike White,QB,,no_ktc,exact
Mike Williams,0,,,4068,Mike Williams,WR,,no_ktc,alias
Miles Sanders,0,,,6151,Miles Sanders,RB,,no_ktc,exact
Mitchell Trubisky,0,,,3976,Mitchell Trubisky,QB,TEN,no_ktc,exact
Mo Alie-Cox,0,,,4054,Mo Alie-Cox,TE,IND,no_ktc,exact
Myles Gaskin,0,,,5980,Myles Gaskin,RB,,no_ktc,exact
Najee Harris,0,1031,najee-harris-1031,7528,Najee Harris,RB,NYG,exact,exact
Nelson Agholor,0,,,2325,Nelson Agholor,WR,,no_ktc,exact
Nick Chubb,0,,,4988,Nick Chubb,RB,,no_ktc,exact
Nick Mullens,0,,,4464,Nick Mullens,QB,JAX,no_ktc,exact
Nick Westbrook-Ikhine,0,950,nick-westbrook-ikhine-950,7496,Nick Westbrook-Ikhine,WR,IND,exact,exact
Nico Collins,0,1040,nico-collins-1040,7569,Nico Collins,WR,HOU,exact,exact
Noah Brown,0,,,4234,Noah Brown,WR,LV,no_ktc,exact
Noah Fant,0,243,noah-fant-243,5857,Noah Fant,TE,NOS,exact,exact
Noah Gray,0,1059,noah-gray-1059,7828,Noah Gray,TE,KCC,exact,exact
Nyheim Hines,0,,,5347,Nyheim Miller-Hines,RB,,no_ktc,alias
Odell Beckham,0,,,2078,Odell Beckham,WR,NYG,no_ktc,exact
Olamide Zaccheaus,0,609,olamide-zaccheaus-609,6271,Olamide Zaccheaus,WR,ATL,exact,exact
Parker Washington,0,1445,parker-washington-1445,9487,Parker Washington,WR,JAC,exact,exact
Parris Campbell,0,,,5880,Parris Campbell,WR,,no_ktc,exact
Pat Freiermuth,0,1053,pat-freiermuth-1053,7600,Pat Freiermuth,TE,PIT,exact,exact
Patrick Mahomes,0,272,patrick-mahomes-272,4046,Patrick Mahomes,QB,KCC,exact,exact
Peyton Hendershot,0,,,8197,Peyton Hendershot,TE,,no_ktc,exact
Pierre Strong Jr.,0,,,8116,Pierre Strong,RB,GB,no_ktc,normalised
Puka Nacua,0,1426,puka-nacua-1426,9493,Puka Nacua,WR,LAR,exact,exact
Quentin Johnston,0,1441,quentin-johnston-1441,9754,Quentin Johnston,WR,LAC,exact,exact
Quez Watkins,0,,,6927,Quez Watkins,WR,PHI,no_ktc,exact
Rachaad White,0,1180,rachaad-white-1180,8136,Rachaad White,RB,WAS,exact,exact
Raheem Blackshear,0,,,8255,Raheem Blackshear,RB,DET,no_ktc,exact
Raheem Mostert,0,,,2749,Raheem Mostert,RB,,no_ktc,exact
Rakim Jarrett,0,,,9495,Rakim Jarrett,WR,,no_ktc,exact
Rashaad Penny,0,,,4985,Rashaad Penny,RB,,no_ktc,exact
Rashee Rice,0,1447,rashee-rice-1447,10229,Rashee Rice,WR,KCC,exact,exact
Rashid Shaheed,0,1360,rashid-shaheed-1360,8676,Rashid Shaheed,WR,SEA,exact,exact
Rashod Bateman,0,1070,rashod-bateman-1070,7571,Rashod Bateman,WR,BAL,exact,exact
Ray Davis,0,1574,ray-davis-1574,11575,Ray Davis,RB,BUF,exact,exact
Rhamondre Stevenson,0,1036,rhamondre-stevenson-1036,7611,Rhamondre Stevenson,RB,NEP,exact,exact
Richie James,0,,,5137,Richie James,WR,,no_ktc,exact
Ricky Pearsall,0,1593,ricky-pearsall-1593,11638,Ricky Pearsall,WR,SFO,exact,exact
Rico Dowdle,0,555,rico-dowdle-555,7021,Rico Dowdle,RB,PIT,exact,exact
Robert Woods,0,,,1352,Robert Woods,WR,,no_ktc,exact
Roman Wilson,0,1600,roman-wilson-1600,11630,Roman Wilson,WR,PIT,exact,exact
Rome Odunze,0,1587,rome-odunze-1587,11620,Rome Odunze,WR,CHI,exact,exact
Romeo Doubs,0,1238,romeo-doubs-1238,8121,Romeo Doubs,WR,NEP,exact,exact
Rondale Moore,0,,,7601,Rondale Moore,WR,,no_ktc,exact
Ronnie Bell,0,,,10221,Ronnie Bell,WR,NO,no_ktc,exact
Ronnie Rivers,0,,,8195,Ronnie Rivers,RB,LAR,no_ktc,exact
Roschon Johnson,0,1390,roschon-johnson-1390,10235,Roschon Johnson,RB,CHI,exact,exact
Russell Wilson,0,,,1234,Russell Wilson,QB,,no_ktc,exact
Ryan Tannehill,0,,,1049,Ryan Tannehill,QB,,no_ktc,exact
Salvon Ahmed,0,,,6918,Salvon Ahmed,RB,CHI,no_ktc,exact
Sam Darnold,0,331,sam-darnold-331,4943,Sam Darnold,QB,SEA,exact,exact
Sam Howell,0,1209,sam-howell-1209,8162,Sam Howell,QB,DAL,exact,exact
Sam LaPorta,0,1429,sam-laporta-1429,10859,Sam LaPorta,TE,DET,exact,exact
Samaje Perine,0,785,samaje-perine-785,4147,Samaje Perine,RB,CIN,exact,exact
Samori Toure,0,,,8235,Samori Toure,WR,PHI,no_ktc,exact
Saquon Barkley,0,1,saquon-barkley-1,4866,Saquon Barkley,RB,PHI,exact,exact
Scotty Miller,0,,,6290,Scotty Miller,WR,CHI,no_ktc,exact
Sean Tucker,0,1400,sean-tucker-1400,9506,Sean Tucker,RB,TBB,exact,exact
Skyy Moore,0,1283,skyy-moore-1283,8168,Skyy Moore,WR,GBP,exact,exact
Spencer Rattler,0,1557,spencer-rattler-1557,11562,Spencer Rattler,QB,NOS,exact,exact
Stefon Diggs,0,262,stefon-diggs-262,2449,Stefon Diggs,WR,WAS,exact,exact
Stetson Bennett,0,1406,stetson-bennett-1406,10857,Stetson Bennett,QB,LAR,exact,exact
T.J. Hockenson,0,247,tj-hockenson-247,5844,T.J. Hockenson,TE,MIN,exact,exact
Tank Bigsby,0,1401,tank-bigsby-1401,9225,Tank Bigsby,RB,PHI,exact,exact
Tank Dell,0,1438,tank-dell-1438,9502,Tank Dell,WR,HOU,exact,exact
Tanner Hudson,0,,,5409,Tanner Hudson,TE,CIN,no_ktc,exact
Taylor Heinicke,0,,,2711,Taylor Heinicke,QB,,no_ktc,exact
Taysom Hill,0,,,4381,Taysom Hill,TE,,no_ktc,exact
Teagan Quitoriano,0,,,8227,Teagan Quitoriano,TE,ARI,no_ktc,exact
Tee Higgins,0,543,tee-higgins-543,6801,Tee Higgins,WR,CIN,exact,exact
Terrace Marshall,0,,,7565,Terrace Marshall,WR,MIA,no_ktc,exact
Terry McLaurin,0,328,terry-mclaurin-328,5927,Terry McLaurin,WR,WAS,exact,exact
Tim Patrick,0,,,4351,Tim Patrick,WR,NYJ,no_ktc,exact
Tommy DeVito,0,,,11292,Tommy DeVito,QB,NE,no_ktc,exact
Tommy Tremble,0,1054,tommy-tremble-1054,7694,Tommy Tremble,TE,CAR,exact,exact
Tony Pollard,0,344,tony-pollard-344,5967,Tony Pollard,RB,TEN,exact,exact
Travis Etienne,0,1030,travis-etienne-1030,7543,Travis Etienne,RB,NOS,exact,exact
Travis Kelce,0,264,travis-kelce-264,1466,Travis Kelce,TE,KCC,exact,exact
Trayveon Williams,0,99,trayveon-williams-99,6144,Trayveon Williams,RB,DET,exact,exact
Tre Tucker,0,1460,tre-tucker-1460,10213,Tre Tucker,WR,LVR,exact,exact
Tre'Quan Smith,0,,,5026,Tre'Quan Smith,WR,,no_ktc,exact
Trenton Irwin,0,,,6598,Trenton Irwin,WR,SF,no_ktc,exact
Trevor Lawrence,0,1094,trevor-lawrence-1094,7523,Trevor Lawrence,QB,JAC,exact,exact
Trey Benson,0,1565,trey-benson-1565,11589,Trey Benson,RB,FA,exact,exact
Trey Lance,0,1017,trey-lance-1017,7610,Trey Lance,QB,LAC,exact,exact
Trey McBride,0,1253,trey-mcbride-1253,8130,Trey McBride,TE,ARI,exact,exact
Trey Palmer,0,1452,trey-palmer-1452,9492,Trey Palmer,WR,NOS,exact,exact
Trey Sermon,0,,,7593,Trey Sermon,RB,ATL,no_ktc,exact
Treylon Burks,0,1269,treylon-burks-1269,8135,Treylon Burks,WR,WAS,exact,exact
Troy Franklin,0,1590,troy-franklin-1590,11627,Troy Franklin,WR,DEN,exact,exact
Tua Tagovailoa,0,600,tua-tagovailoa-600,6768,Tua Tagovailoa,QB,ATL,exact,exact
Tucker Kraft,0,1418,tucker-kraft-1418,9484,Tucker Kraft,TE,GBP,exact,exact
Tutu Atwell,0,1078,tutu-atwell-1078,7562,Tutu Atwell,WR,MIA,exact,exact
Ty Chandler,0,1182,ty-chandler-1182,8230,Ty Chandler,RB,NOS,exact,exact
Ty Johnson,0,6,ty-johnson-6,6039,Ty Johnson,RB,BUF,exact,exact
Tyjae Spears,0,1417,tyjae-spears-1417,9508,Tyjae Spears,RB,TEN,exact,exact
Tylan Wallace,0,,,7595,Tylan Wallace,WR,CLE,no_ktc,exact
Tyler Allgeier,0,1228,tyler-allgeier-1228,8132,Tyler Allgeier,RB,ARI,exact,exact
Tyler Badie,0,1206,tyler-badie-1206,8208,Tyler Badie,RB,DEN,exact,exact
Tyler Boyd,0,,,3225,Tyler Boyd,WR,,no_ktc,exact
Tyler Conklin,0,,,5133,Tyler Conklin,TE,DET,no_ktc,exact
Tyler Higbee,0,159,tyler-higbee-159,3271,Tyler Higbee,TE,LAR,exact,exact
Tyler Huntley,0,618,tyler-huntley-618,7083,Tyler Huntley,QB,BAL,exact,exact
Tyler Johnson,0,572,tyler-johnson-572,6960,Tyler Johnson,WR,DAL,exact,exact
Tyler Lockett,0,,,2374,Tyler Lockett,WR,,no_ktc,exact
Tyler Scott,0,1436,tyler-scott-1436,9490,Tyler Scott,WR,LAR,exact,exact
Tyquan Thornton,0,1246,tyquan-thornton-1246,8188,Tyquan Thornton,WR,KCC,exact,exact
Tyreek Hill,0,286,tyreek-hill-286,3321,Tyreek Hill,WR,FA,exact,exact
Tyrion Davis-Price,0,,,8211,Tyrion Davis-Price,RB,,no_ktc,exact
Tyrod Taylor,0,,,827,Tyrod Taylor,QB,GB,no_ktc,exact
Tyson Bagent,0,1478,tyson-bagent-1478,11256,Tyson Bagent,QB,CHI,exact,exact
Van Jefferson,0,,,6853,Van Jefferson,WR,WAS,no_ktc,exact
Wan'Dale Robinson,0,1274,wan-dale-robinson-1274,8126,Wan'Dale Robinson,WR,TEN,exact,exact
Will Dissly,0,,,5010,Will Dissly,TE,,no_ktc,exact
Will Levis,0,1402,will-levis-1402,9999,Will Levis,QB,TEN,exact,exact
Will Shipley,0,1572,will-shipley-1572,11577,Will Shipley,RB,PHI,exact,exact
Xavier Gipson,0,1504,xavier-gipson-1504,11306,Xavier Gipson,WR,NYG,exact,exact
Xavier Hutchinson,0,1454,xavier-hutchinson-1454,10218,Xavier Hutchinson,WR,HOU,exact,exact
Xavier Legette,0,1610,xavier-legette-1610,11626,Xavier Legette,WR,CAR,exact,exact
Xavier Worthy,0,1591,xavier-worthy-1591,11624,Xavier Worthy,WR,KCC,exact,exact
Zach Charbonnet,0,1384,zach-charbonnet-1384,9753,Zach Charbonnet,RB,SEA,exact,exact
Zach Ertz,0,,,1339,Zach Ertz,TE,,no_ktc,exact
Zach Evans,0,,,9222,Zach Evans,RB,,no_ktc,exact
Zach Wilson,0,1016,zach-wilson-1016,7538,Zach Wilson,QB,NOS,exact,exact
Zack Moss,0,,,6845,Zack Moss,RB,,no_ktc,exact
Zamir White,0,1230,zamir-white-1230,8139,Zamir White,RB,NOS,exact,exact
Zay Flowers,0,1443,zay-flowers-1443,9997,Zay Flowers,WR,BAL,exact,exact
Zay Jones,0,327,zay-jones-327,4080,Zay Jones,WR,HOU,exact,exact
Zonovan Knight,0,,,8122,Zonovan Knight,RB,ARI,no_ktc,exact
